Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA),Angle Raw.1,Bus Voltage (V).1,Shunt Voltage (mV).1,Current (mA).1,Angle Raw.2,Bus Voltage (V).2,Shunt Voltage (mV).2,Current (mA).2,Angle Raw.3,Bus Voltage (V).3,Shunt Voltage (mV).3,Current (mA).3,Angle Raw.4,Bus Voltage (V).4,Shunt Voltage (mV).4,Current (mA).4,Angle Raw.5,Bus Voltage (V).5,Shunt Voltage (mV).5,Current (mA).5,Angle Raw.6,Bus Voltage (V).6,Shunt Voltage (mV).6,Current (mA).6,Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA)
346.03,5.78,0.03,0.3,257.08,1.39,13.15,99.7,357.71,5.36,5.11,137.2,99.58,4.0,4.4,106.8,164.36,0.96,11.5,104.7,206.72,2.72,15.73,145.8,220.87,0.0,14.38,123.6,258.31,3.85,15.58,145.3
346.03,2.24,0.01,0.2,241.44,12.2,13.52,129.3,322.12,0.0,10.26,104.4,45.0,0.0,5.13,129.7,85.17,0.01,14.78,171.1,107.67,5.48,11.89,174.7,102.66,1.21,14.52,147.0,118.3,0.0,14.78,181.2
346.03,0.0,0.02,0.2,225.0,1.36,12.69,39.5,285.56,3.39,7.22,53.1,350.68,3.16,11.64,78.4,8.0,12.02,18.43,184.0,6.86,0.0,11.18,96.9,341.54,7.28,13.76,144.8,335.57,11.7,14.23,129.8
346.03,3.07,0.02,0.3,210.06,0.0,14.96,96.1,251.19,7.93,10.52,100.4,294.87,8.98,11.68,57.6,291.97,2.12,16.27,154.5,277.56,2.1,9.95,159.0,221.4,0.0,8.19,153.0,189.14,1.81,16.73,146.7
346.03,10.84,0.03,0.2,195.29,12.03,14.45,93.4,214.54,0.0,5.56,63.2,239.15,1.99,9.02,146.3,212.7,0.26,11.79,118.3,181.49,10.12,15.77,148.3,108.02,1.23,15.91,142.6,48.52,0.0,13.23,176.6
346.03,4.09,0.03,0.2,179.82,2.17,14.14,102.7,180.97,0.0,12.92,131.1,183.87,0.0,15.5,45.6,134.65,10.58,9.78,100.8,78.31,0.0,14.71,69.5,346.29,6.28,13.34,152.1,271.85,11.31,14.74,149.8
346.03,0.0,0.02,0.1,164.27,0.1,12.76,83.1,145.02,9.83,9.98,151.3,128.76,10.52,9.11,125.5,55.11,1.92,9.92,105.2,344.18,0.15,15.12,179.0,226.85,0.0,7.77,120.9,125.51,0.0,16.63,129.9
346.03,0.0,0.03,0.1,149.24,11.56,14.56,101.5,109.78,2.13,6.33,164.8,70.49,3.15,14.3,174.4,341.37,0.0,8.5,131.4,243.11,9.78,11.22,148.0,113.03,2.3,16.38,151.1,343.04,3.84,14.81,139.6
346.03,2.96,0.01,0.2,132.54,0.0,8.36,44.4,74.09,0.0,8.47,96.2,14.06,0.0,11.3,76.2,264.99,7.83,11.88,142.6,144.49,1.77,8.4,101.9,351.74,7.82,15.24,150.5,201.09,7.7,17.19,146.8
346.03,11.86,0.03,0.1,117.69,0.0,14.45,113.1,41.13,3.44,13.63,47.0,320.01,3.16,6.3,176.9,186.15,3.29,18.8,185.1,47.64,0.0,15.77,119.6,231.94,0.0,10.24,114.8,60.82,1.29,15.34,94.2
346.03,4.25,0.03,0.2,102.04,11.88,12.91,76.7,6.24,11.85,7.55,147.7,263.85,5.49,16.16,109.5,107.84,0.0,17.37,162.7,310.17,11.23,16.88,162.0,113.73,3.06,14.14,135.6,289.34,0.41,16.7,156.6
346.03,0.0,0.0,0.2,86.22,2.71,13.55,97.5,332.05,2.51,13.83,134.7,206.1,0.0,6.45,139.3,27.95,10.69,14.46,137.2,206.28,1.46,17.69,62.1,352.09,6.22,13.48,190.4,148.36,8.95,14.36,140.4
346.03,0.0,0.01,0.2,71.46,0.0,7.67,129.8,295.31,0.0,13.36,82.2,151.35,1.31,16.01,43.4,307.71,2.38,10.36,90.8,111.45,0.0,8.84,179.0,232.56,0.0,9.35,153.7,6.15,2.79,18.24,153.3
346.03,3.24,0.02,0.3,56.6,2.6,9.21,81.0,259.63,12.21,8.78,171.3,95.71,10.06,17.82,79.3,231.77,0.0,7.46,82.8,13.01,10.58,16.72,116.0,118.74,2.84,15.67,128.1,235.28,0.0,13.94,148.0
346.03,10.51,0.02,0.4,42.28,11.92,6.7,130.2,223.07,2.16,13.38,85.4,39.11,1.93,7.39,127.5,160.05,4.4,6.85,106.2,272.64,2.22,16.43,108.2,357.36,5.39,14.58,123.0,95.54,11.65,16.94,158.9
346.03,3.23,0.02,0.2,26.63,2.76,9.47,146.5,187.82,0.0,6.74,101.4,344.62,0.0,15.63,137.4,84.2,7.22,12.07,84.0,173.58,0.0,17.83,104.4,237.57,0.0,12.37,171.3,312.71,1.82,14.78,169.4
346.03,0.0,0.0,0.8,11.69,0.0,5.7,79.7,153.37,5.64,9.16,62.3,286.7,11.95,6.53,181.1,9.49,2.66,14.79,147.6,74.18,10.59,8.53,180.9,118.74,6.45,17.03,190.4,171.74,0.19,15.73,142.8
346.03,0.46,0.02,0.2,357.45,0.47,15.2,97.8,119.62,5.33,15.17,96.0,228.69,2.48,15.51,51.9,296.46,0.14,17.06,133.3,335.57,2.08,13.23,150.7,357.45,3.54,11.5,195.2,29.71,9.74,15.04,179.6
346.03,3.56,0.02,0.3,342.16,8.56,14.91,101.7,83.94,0.0,9.38,35.1,173.67,0.0,10.48,172.2,217.62,10.72,15.5,189.7,235.63,0.08,10.83,114.6,237.39,0.0,11.19,156.2,253.39,1.7,15.65,125.4
346.03,10.84,0.03,0.2,326.69,0.0,13.86,56.3,50.71,0.0,15.03,159.2,116.37,11.59,12.05,55.4,136.67,0.0,18.2,110.8,136.49,10.08,13.35,175.4,118.48,7.36,11.7,169.9,113.64,0.33,17.1,161.9
346.03,2.64,0.02,0.2,311.57,0.29,14.35,81.2,14.59,8.15,10.46,122.4,57.92,2.62,8.9,132.1,57.13,0.15,17.23,153.8,31.46,0.0,17.16,80.9,357.63,2.48,13.27,151.9,330.29,9.34,14.51,156.0
346.03,0.0,0.0,0.4,296.28,10.23,8.23,115.6,338.73,2.86,9.55,166.8,3.25,0.0,6.85,140.9,339.96,8.27,13.92,146.1,298.39,0.18,16.1,131.1,238.18,0.0,16.44,148.6,189.49,0.0,15.5,116.6
346.03,0.1,0.02,0.3,280.2,1.78,13.34,81.1,303.31,0.0,5.83,82.9,311.75,1.53,18.07,95.1,261.21,0.0,11.86,79.5,198.11,9.76,13.33,127.1,119.0,11.58,17.43,176.6,49.22,0.34,14.51,166.6
346.03,8.08,0.02,0.3,264.55,0.0,13.72,121.5,269.21,2.79,18.7,76.5,255.94,8.4,10.98,146.1,185.36,0.52,10.92,109.7,98.88,2.4,12.06,164.5,353.41,1.77,16.26,92.0,271.32,8.64,14.98,151.4
346.03,8.5,0.02,0.3,248.38,11.72,16.2,84.8,233.35,7.86,13.08,89.6,198.37,0.0,15.63,61.3,107.93,9.96,10.97,115.4,1.05,0.0,17.23,150.4,238.18,0.33,13.81,148.2,131.4,0.18,16.93,118.0
346.03,3.2,0.02,0.2,232.38,0.92,11.8,58.8,198.37,0.0,6.3,58.6,143.61,3.2,7.53,136.9,27.51,1.3,8.12,74.9,268.77,9.9,16.86,160.9,119.62,9.96,19.17,137.5,348.75,3.65,14.79,142.2
346.03,0.0,0.01,0.1,217.44,0.0,12.68,84.9,164.53,0.0,10.01,117.9,88.42,11.87,11.63,167.1,317.46,0.0,9.43,80.2,168.75,2.88,13.43,155.0,358.42,1.44,17.43,87.3,207.25,6.85,18.55,161.5
346.03,0.08,0.03,0.2,202.32,11.98,13.85,93.1,128.23,10.77,7.18,175.5,29.27,2.42,12.8,89.1,244.07,2.97,7.25,92.0,68.64,0.0,11.08,146.8,242.84,0.0,12.66,135.3,67.06,0.0,14.93,95.6
346.03,2.6,0.02,0.3,186.77,2.72,14.63,83.0,91.32,2.46,8.07,111.9,335.3,0.01,16.61,125.7,171.47,7.63,8.53,132.8,331.61,11.01,12.61,107.7,124.01,9.16,19.02,139.0,295.22,0.19,17.8,170.9
345.94,8.56,0.03,0.3,171.74,0.0,12.98,100.8,56.69,0.0,6.51,67.3,277.38,11.05,7.54,137.2,96.94,2.12,14.73,105.3,226.58,2.16,8.57,165.5,3.16,2.84,16.91,126.9,154.6,8.08,14.2,135.7
346.03,3.09,0.03,0.2,156.18,12.69,11.98,84.6,23.12,3.36,8.2,140.4,219.73,2.02,11.74,58.1,19.42,0.0,15.63,169.5,131.22,0.0,15.19,131.4,252.42,0.0,14.85,190.8,12.48,1.74,16.72,141.0
346.03,0.0,0.01,-0.1,139.92,2.57,11.36,88.1,348.66,9.94,8.67,160.2,164.88,0.0,7.07,178.9,303.22,11.76,14.22,168.0,30.94,8.13,14.21,158.2,133.51,12.61,14.92,185.2,235.99,0.24,14.47,154.6
346.03,0.41,0.02,0.2,124.63,0.0,11.19,73.3,313.33,2.04,14.08,88.0,109.86,11.93,12.53,80.4,221.13,0.0,18.1,91.2,293.03,2.64,12.69,176.9,7.91,2.54,16.49,138.5,96.15,11.05,17.99,142.4
346.03,5.92,0.02,0.3,109.25,7.58,12.24,91.0,277.82,0.0,13.29,159.0,51.06,3.63,6.88,127.0,146.78,0.38,18.6,165.9,193.1,0.0,8.76,183.6,257.43,0.0,14.48,141.3,313.07,0.0,12.93,128.8
346.03,8.99,0.04,0.2,94.04,6.29,9.43,145.9,240.29,11.27,8.55,104.3,357.19,0.0,13.47,81.2,67.41,11.88,17.25,173.8,97.47,3.74,17.69,102.5,138.08,11.79,12.98,145.0,172.18,2.62,15.25,154.9
346.03,2.46,0.01,0.2,79.45,1.4,7.6,69.0,203.99,2.04,16.02,53.6,301.2,3.04,13.31,127.3,347.08,1.71,14.98,89.9,0.0,6.18,8.48,168.1,12.66,2.56,15.15,124.3,30.06,8.68,17.5,167.6
346.03,0.0,0.02,-0.2,65.21,0.0,12.4,102.8,168.93,0.0,8.75,98.3,243.54,4.83,12.91,82.2,270.88,0.27,12.17,115.7,270.53,0.0,12.97,71.2,257.08,0.26,14.35,123.8,253.92,0.26,15.32,105.4
346.03,0.89,0.02,0.1,49.39,7.13,14.47,97.4,135.26,9.97,6.31,154.6,188.26,0.0,4.46,105.9,192.48,9.67,9.61,115.3,175.25,0.4,13.97,164.9,138.87,10.05,15.59,126.2,114.26,3.87,17.66,155.0
346.03,11.96,0.03,0.3,34.19,7.77,8.26,141.5,99.84,6.73,9.75,154.0,133.42,0.74,16.39,81.6,116.89,2.22,8.22,54.3,75.76,10.77,16.82,123.4,13.36,1.67,14.82,121.8,330.73,6.64,13.48,154.1
346.03,5.81,0.01,0.1,19.25,0.0,9.63,53.5,65.21,0.56,13.07,87.8,77.52,9.16,13.54,66.9,43.68,0.0,8.81,73.6,333.63,0.0,5.42,119.5,257.17,0.77,15.46,188.6,189.93,0.0,10.25,112.5
345.94,2.04,0.02,0.1,4.75,0.0,7.64,146.5,30.67,0.0,15.5,185.0,23.38,2.5,8.55,105.0,333.28,1.13,7.93,122.9,237.48,1.42,16.35,120.5,138.87,7.72,12.83,177.6,49.48,0.51,13.26,183.3
346.03,0.0,0.0,0.1,350.77,1.23,6.64,153.6,354.55,11.16,12.74,89.7,329.5,0.0,8.25,153.8,256.64,8.7,10.17,125.4,138.34,8.8,16.77,108.2,18.37,1.25,15.48,81.0,272.11,6.39,16.42,151.7
345.94,1.15,0.01,0.2,335.83,6.79,8.65,106.6,317.99,2.16,15.31,92.1,273.52,4.74,18.94,98.6,178.33,0.0,17.09,137.2,37.44,2.04,11.74,108.2,266.4,0.05,14.39,131.4,132.28,0.0,11.45,119.8
346.03,10.77,0.03,0.2,320.71,0.0,4.86,45.3,281.95,0.0,11.48,142.7,218.14,5.05,8.85,172.1,99.67,0.57,17.33,181.0,300.06,2.68,8.52,172.1,148.18,11.16,13.79,126.7,349.72,2.49,15.74,136.7
346.03,4.21,0.03,0.3,305.86,0.0,10.92,92.2,244.95,11.51,17.46,139.9,162.95,0.0,11.53,82.9,23.47,10.72,18.42,183.7,204.08,10.12,16.29,112.6,23.47,0.09,16.87,75.0,207.77,6.49,17.02,157.2
346.03,0.0,0.02,0.1,290.3,11.18,15.22,74.6,206.19,0.0,4.65,88.2,107.75,3.22,9.89,163.6,303.31,0.0,15.95,124.3,101.34,0.0,15.52,95.0,271.67,0.14,15.25,144.8,67.5,0.0,9.96,100.0
346.03,0.0,0.03,0.2,274.31,2.18,10.77,90.0,172.88,0.0,7.39,170.9,51.59,9.9,12.41,192.3,224.65,3.06,16.76,166.3,3.34,0.0,11.57,129.0,153.11,10.4,15.52,142.9,296.02,1.74,18.56,161.0
346.03,2.25,0.02,0.2,258.75,0.0,11.21,83.9,138.08,7.74,7.04,79.7,355.25,0.6,8.75,69.2,146.69,6.5,14.63,157.5,270.79,11.45,12.15,91.4,28.04,0.0,17.77,85.7,154.86,7.48,13.89,149.6
346.03,11.4,0.03,0.4,243.63,5.83,12.39,91.5,104.06,4.53,16.17,66.7,301.9,0.0,6.44,181.7,67.68,0.0,10.03,92.3,171.3,2.41,15.82,125.6,276.77,0.62,16.46,124.3,12.92,0.0,12.09,97.7
346.03,4.22,0.02,0.2,228.52,5.34,9.85,119.4,67.94,0.0,8.36,78.8,246.27,5.34,18.47,92.7,353.23,0.59,9.73,93.4,70.58,0.0,13.83,138.6,157.76,10.52,18.03,162.0,241.61,2.28,14.07,134.9
346.03,0.0,0.01,0.2,213.4,0.0,6.21,132.7,34.63,0.0,13.09,157.1,191.34,3.56,10.12,162.8,280.28,11.21,8.3,105.5,333.19,11.1,13.7,168.5,32.78,1.86,19.37,106.7,101.43,8.78,16.42,149.8
346.03,0.0,0.02,0.2,198.54,1.7,8.62,110.0,358.59,10.7,14.62,158.1,134.65,0.0,4.57,97.2,201.45,2.12,10.36,74.8,229.22,1.32,18.87,127.1,276.24,3.76,13.18,174.9,318.43,0.0,13.54,121.9
346.03,2.65,0.02,0.3,183.43,8.63,7.71,74.7,320.19,0.0,8.37,113.8,81.65,0.7,10.15,120.1,127.0,0.0,10.87,117.2,130.34,0.64,15.27,136.7,158.03,7.93,16.1,150.4,177.54,2.37,15.63,153.5
346.03,9.61,0.03,0.3,169.1,1.36,9.87,57.2,284.5,0.21,12.54,100.1,24.87,8.03,16.09,158.1,46.85,4.77,13.62,139.6,29.18,10.68,14.94,128.3,37.79,1.54,18.32,101.0,35.77,8.32,14.19,170.9
346.03,4.27,0.01,0.3,154.6,0.0,11.39,127.3,247.15,10.67,4.79,82.6,328.8,0.0,6.71,86.7,330.64,3.0,16.36,120.4,288.63,0.0,7.06,141.7,280.9,1.07,16.89,158.0,259.1,0.0,14.15,117.2
346.03,0.0,0.01,0.1,138.78,11.92,13.93,103.6,211.64,1.87,7.52,99.8,275.36,0.0,11.79,117.8,250.75,0.0,13.5,182.8,191.95,1.56,16.89,100.7,162.33,8.09,18.22,130.4,119.09,2.18,17.86,174.8
346.03,0.0,0.02,0.3,122.52,2.11,13.35,44.3,177.98,0.0,10.78,81.2,217.53,11.1,6.0,176.1,172.79,11.86,19.17,186.3,93.16,10.39,15.32,131.4,42.89,0.96,13.98,112.6,336.09,6.29,15.16,138.7
346.03,2.8,0.01,0.2,107.75,0.07,13.06,100.1,143.26,3.58,6.7,74.6,160.93,0.51,9.68,43.9,91.23,2.53,18.3,167.4,350.95,0.0,13.58,99.6,285.82,1.36,11.37,144.4,195.38,0.0,10.47,121.9
346.03,11.42,0.03,0.3,91.85,12.04,14.67,107.8,108.98,7.55,10.65,99.2,108.19,0.0,5.8,117.4,14.59,0.0,15.64,157.9,254.36,2.67,12.92,186.2,166.64,8.95,12.47,137.6,54.58,2.09,14.05,150.2
346.03,2.83,0.02,0.1,75.59,2.71,14.89,87.5,73.3,0.0,6.2,101.7,52.03,2.76,10.94,139.8,297.51,12.59,15.14,160.6,155.48,8.3,10.01,162.4,47.2,0.0,12.82,119.2,278.0,7.53,17.38,147.6
346.03,0.0,0.02,0.1,60.73,0.0,7.62,140.2,38.58,0.0,8.81,85.0,355.96,3.9,6.85,131.4,216.3,1.89,14.43,100.1,54.49,1.81,16.09,88.2,290.21,1.27,11.63,184.1,137.37,0.0,10.18,145.1
346.03,0.0,0.02,0.1,45.7,1.56,8.03,74.8,5.27,0.78,9.94,111.0,300.23,0.0,13.02,111.5,138.16,0.22,13.22,127.1,321.15,0.0,13.8,144.1,171.04,9.08,13.66,157.8,355.17,2.98,15.68,148.6
346.03,2.83,0.03,0.2,31.46,12.28,10.75,108.5,332.4,8.16,15.91,71.3,241.79,2.94,7.79,175.5,58.89,9.86,13.04,111.0,220.52,9.64,15.75,172.3,51.5,1.92,15.69,87.3,213.49,5.45,18.21,167.7
346.03,10.33,0.05,0.3,15.12,2.28,13.48,63.6,296.54,1.66,8.9,74.8,186.94,6.48,17.97,82.1,341.81,1.76,9.24,89.2,121.73,1.6,12.34,156.0,299.62,0.38,11.38,135.9,72.77,0.0,10.12,120.2
346.03,3.05,0.02,0.1,0.44,0.0,7.04,71.7,262.09,0.0,13.6,147.5,132.1,0.0,5.21,135.3,269.38,0.0,9.08,97.7,19.78,0.0,11.76,182.7,180.7,9.81,12.34,160.4,295.66,3.9,18.28,173.4
346.03,0.0,0.02,0.1,347.34,0.86,10.83,90.8,225.26,11.28,10.06,148.1,76.46,0.48,14.57,183.5,196.26,4.25,10.07,73.1,282.66,9.29,15.34,156.8,61.61,2.46,17.71,154.0,155.21,4.98,14.49,137.3
346.03,0.39,0.02,0.2,331.88,9.1,14.3,73.7,187.21,0.44,8.21,95.2,19.78,11.04,14.09,106.7,121.64,5.6,10.04,72.7,183.16,1.08,12.45,75.6,303.93,1.35,19.21,152.0,12.57,0.0,10.89,143.0
346.03,2.91,0.02,0.4,316.67,0.0,12.96,54.3,153.54,0.0,6.49,97.6,321.86,0.08,17.77,60.9,45.35,0.0,8.2,59.5,88.15,0.0,12.23,157.9,184.83,10.07,13.56,176.1,236.51,4.42,14.34,140.4
346.03,8.76,0.03,0.3,301.2,0.66,13.75,92.3,119.88,3.09,10.68,116.4,266.31,0.9,12.35,164.8,334.69,0.0,10.11,104.9,349.37,11.28,10.55,189.4,60.82,1.48,16.77,85.9,97.03,6.26,16.58,152.0
346.03,3.2,0.02,0.2,285.73,12.4,10.06,97.4,82.35,5.02,16.04,83.5,208.83,8.81,6.08,113.7,256.03,10.89,10.76,77.4,245.21,0.0,17.82,89.2,309.02,0.14,16.08,132.1,318.16,0.0,8.91,96.4
345.94,0.0,0.01,0.6,269.82,2.62,14.57,91.8,47.72,0.0,14.85,45.8,154.16,2.11,15.12,51.4,177.28,2.01,8.03,109.7,150.38,0.06,9.45,150.2,189.49,9.07,17.23,151.5,188.09,0.3,18.38,152.9
346.03,0.46,0.02,0.2,254.18,0.0,14.8,118.3,12.92,0.0,7.28,83.3,98.88,0.0,12.18,72.8,102.74,0.0,7.83,71.1,52.73,8.45,15.94,121.1,69.87,2.07,13.85,194.6,47.72,9.14,14.23,132.7
346.03,3.01,0.01,0.2,238.54,12.34,16.48,119.3,339.61,9.95,16.24,69.2,44.82,2.76,6.6,129.1,28.65,5.32,11.13,79.6,315.7,3.16,12.05,178.2,312.98,0.06,12.81,130.9,270.7,0.83,16.44,113.5
346.03,10.75,0.04,0.3,222.01,1.7,11.83,49.3,304.1,4.09,10.61,125.3,350.77,6.82,15.89,93.8,315.44,6.09,11.08,78.2,215.68,0.0,11.98,185.8,193.89,10.98,11.63,160.9,130.43,0.49,13.45,187.1
346.03,2.56,0.02,0.1,206.81,0.0,13.07,76.0,266.84,0.0,13.92,158.4,295.4,0.0,7.2,140.7,239.68,0.0,7.61,85.5,116.19,11.5,9.48,156.1,70.05,0.0,16.94,102.5,347.87,8.73,14.29,155.1
346.03,0.0,0.01,0.3,191.87,12.25,13.2,96.1,230.1,4.8,15.52,130.9,239.68,0.72,19.36,98.1,167.7,0.0,9.76,87.4,15.03,3.07,16.27,133.3,313.07,2.87,13.49,172.5,206.02,0.0,12.16,113.5
345.94,0.31,0.02,0.2,176.22,2.23,12.13,99.6,193.01,2.78,15.6,80.2,185.1,9.29,8.8,109.7,95.98,4.67,13.24,108.6,278.26,0.0,12.47,121.8,193.1,8.4,12.85,120.4,66.27,0.68,15.21,150.4
346.03,6.25,0.03,0.3,161.72,0.0,13.68,100.2,158.29,0.0,6.61,158.7,130.34,2.11,14.37,41.0,18.37,5.42,13.77,132.9,178.51,11.21,18.57,142.9,74.09,1.78,16.69,123.5,288.98,8.28,18.75,159.6
346.03,9.16,0.02,0.3,146.07,11.45,12.41,88.8,122.78,2.62,9.83,66.1,74.53,0.0,8.71,85.7,302.08,0.0,8.91,101.0,74.97,2.33,15.05,161.8,317.11,1.06,11.73,185.6,148.36,0.0,14.12,95.3
346.03,3.36,0.02,0.1,130.52,2.2,12.58,99.3,88.59,8.97,5.99,165.1,22.41,2.59,15.45,95.5,226.76,2.77,13.43,104.9,337.85,0.0,12.74,179.1,197.49,8.52,13.84,170.0,11.34,0.24,18.41,181.7
346.03,0.0,0.02,0.6,115.31,0.0,13.5,77.4,53.79,2.24,9.79,118.4,328.89,8.7,6.28,183.5,148.89,5.4,10.37,133.5,237.04,10.72,12.91,172.2,78.31,1.7,14.85,87.4,235.37,9.26,14.73,137.8
346.03,0.09,0.02,0.2,99.76,4.05,8.28,139.6,19.51,0.0,11.32,159.4,273.34,1.97,15.47,50.3,70.58,0.0,6.41,80.0,134.3,0.0,9.37,136.3,326.16,0.0,18.05,142.9,95.8,2.32,17.48,133.2
346.03,3.78,0.02,0.3,84.81,7.08,9.68,90.9,343.13,3.94,15.51,107.7,217.79,0.3,6.68,132.8,0.0,0.0,11.35,118.8,37.44,0.06,15.72,147.0,206.37,9.34,13.26,173.6,317.37,0.38,15.07,135.2
346.03,9.31,0.03,0.2,70.49,2.4,14.0,140.6,306.21,2.96,13.99,63.1,163.21,12.09,16.14,130.2,286.61,11.5,11.36,82.3,300.23,10.56,14.27,126.3,87.54,2.2,17.8,165.9,176.84,8.86,15.76,154.8
346.03,3.46,0.02,0.2,55.2,0.0,5.73,135.9,270.53,0.0,7.57,154.3,103.62,0.99,13.49,42.4,208.3,2.2,7.85,106.2,196.26,0.0,16.28,93.3,330.29,0.0,16.08,135.0,35.33,2.12,14.2,135.8
346.03,0.0,0.01,0.7,40.25,3.58,7.44,86.0,234.67,2.76,9.6,86.9,46.93,0.05,12.9,82.7,133.51,0.0,6.45,68.6,101.16,2.4,14.28,171.4,210.41,11.09,12.7,146.2,258.13,0.12,15.21,160.4
346.03,0.06,0.03,0.1,26.54,9.17,15.33,109.0,200.39,7.39,8.39,64.7,352.97,10.04,7.37,139.4,60.73,3.36,10.66,76.8,0.0,11.75,15.11,158.1,87.01,0.0,19.11,90.5,118.83,8.73,16.53,174.9
346.03,2.5,0.02,0.3,10.9,2.31,8.16,62.8,167.08,1.93,14.32,93.0,295.31,2.55,11.8,108.6,347.34,7.5,10.32,74.8,263.06,1.88,18.53,55.2,333.9,0.05,13.14,174.0,335.65,0.0,15.24,94.8
346.03,10.34,0.03,0.2,356.75,0.0,8.33,110.2,131.84,0.0,12.1,144.7,237.13,0.0,13.39,54.1,270.97,0.0,10.23,75.5,167.34,0.22,9.86,163.7,213.93,10.22,13.45,181.3,199.34,0.47,15.71,168.8
346.03,2.49,0.01,0.1,341.28,8.56,7.44,67.2,94.48,10.86,7.11,63.2,181.85,11.3,8.09,108.3,195.91,0.55,10.07,96.1,70.93,9.45,15.84,93.4,91.32,0.0,15.43,114.5,58.54,12.11,15.45,148.7
346.03,0.0,0.01,0.4,326.69,7.33,13.45,84.0,60.12,4.56,11.21,95.8,125.07,2.51,17.97,57.1,121.29,10.86,7.49,94.9,337.68,4.23,13.23,157.9,333.63,1.07,11.92,183.6,276.15,0.0,18.16,102.3
346.03,0.06,0.02,0.2,311.4,0.0,11.24,70.6,25.4,0.0,4.84,94.0,68.91,0.0,9.79,100.1,44.65,3.75,10.05,95.2,237.04,0.0,8.73,182.4,213.93,8.74,13.1,193.5,135.97,1.29,14.06,136.0
346.03,5.2,0.02,0.3,296.1,3.1,14.75,120.8,351.83,0.26,6.75,93.0,14.68,2.74,11.64,142.8,331.7,0.0,7.79,94.0,142.29,6.55,15.65,96.8,95.1,1.81,17.18,109.1,353.5,8.34,17.23,133.1
346.03,9.22,0.03,0.3,280.2,8.44,16.36,124.2,318.08,12.48,12.82,113.5,318.69,6.45,11.95,79.8,258.49,2.5,10.03,73.9,45.0,7.06,10.41,157.0,338.2,3.68,13.27,149.6,211.29,0.0,10.85,127.2
346.03,3.43,0.03,0.2,264.81,0.0,9.59,78.7,279.4,2.05,17.66,65.2,262.88,0.0,4.86,90.5,182.99,7.73,10.1,74.6,308.41,0.0,9.92,102.0,218.23,7.79,16.13,128.2,71.37,1.29,15.06,159.1
346.03,0.0,0.01,0.4,250.05,0.38,7.35,148.0,243.11,0.0,9.74,99.2,209.27,0.07,11.28,127.5,108.72,1.28,10.15,65.8,212.52,2.7,12.63,137.8,99.58,1.48,15.18,83.4,294.52,7.98,16.38,187.3
345.94,0.02,0.01,0.1,234.76,11.29,8.55,75.4,209.18,5.14,11.4,139.3,152.58,9.82,6.88,132.3,31.73,0.0,9.85,73.3,113.47,6.86,17.44,182.7,347.17,0.0,18.81,151.4,154.07,0.0,11.14,114.5
345.94,3.19,0.02,0.3,219.38,3.03,9.63,92.7,172.62,3.44,5.82,160.8,97.38,2.67,11.23,159.7,321.33,4.74,7.82,99.1,11.6,0.0,12.45,84.9,226.67,9.7,15.72,161.5,11.16,1.5,17.15,178.7
346.03,9.52,0.02,0.3,204.79,0.0,11.8,75.7,137.37,0.0,10.82,89.0,41.4,0.0,16.23,67.0,248.47,7.07,9.79,98.7,279.32,0.2,16.12,109.9,108.19,0.75,18.7,91.0,235.28,7.54,14.86,138.5
346.03,3.71,0.01,0.2,190.02,3.39,14.55,121.0,102.04,3.28,14.06,157.5,347.08,4.64,7.69,153.6,176.57,2.01,6.7,52.1,179.38,8.06,17.86,141.6,350.95,0.06,13.06,124.0,95.45,0.0,18.27,111.2
346.03,0.0,0.0,0.1,174.81,5.64,14.5,96.7,64.42,5.66,15.03,81.8,291.18,5.01,17.8,136.5,104.68,0.0,6.3,100.6,79.01,1.73,8.72,142.6,230.98,10.44,11.59,159.6,317.46,1.12,14.71,135.9
346.03,0.0,0.01,0.1,160.05,0.0,4.52,95.4,29.62,0.0,10.44,67.8,232.91,0.0,8.17,121.9,27.77,2.92,9.83,100.5,345.85,0.0,16.12,138.5,108.11,0.0,10.09,105.6,176.4,8.8,18.68,151.0
346.03,3.62,0.01,0.2,145.9,0.34,9.69,96.9,354.64,0.28,17.48,171.4,178.15,2.92,17.38,58.5,314.56,6.73,9.62,99.7,245.57,10.97,17.25,109.0,345.76,1.49,16.74,151.6,34.89,0.0,13.81,89.3
346.03,11.63,0.03,0.3,131.57,11.81,10.87,79.0,318.16,11.06,12.02,104.9,122.78,6.56,9.57,128.3,241.96,0.0,7.24,42.8,142.21,0.0,9.28,80.7,225.88,7.06,19.25,149.2,262.88,0.84,18.24,176.6
346.03,2.9,0.02,0.2,115.4,2.39,11.66,60.3,278.88,0.0,4.81,132.7,67.15,0.78,7.83,103.9,169.63,0.0,7.26,98.0,49.22,0.0,10.6,96.7,107.58,0.0,11.07,140.8,123.22,10.2,14.5,152.4
345.94,0.0,0.02,0.5,100.28,0.0,12.16,77.0,243.63,1.41,12.71,113.8,12.66,0.0,9.93,126.3,97.91,2.89,8.1,73.6,315.79,7.32,17.43,101.6,345.76,3.19,16.28,159.1,335.21,0.0,12.6,120.6
