Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA),Angle Raw.1,Bus Voltage (V).1,Shunt Voltage (mV).1,Current (mA).1,Angle Raw.2,Bus Voltage (V).2,Shunt Voltage (mV).2,Current (mA).2,Angle Raw.3,Bus Voltage (V).3,Shunt Voltage (mV).3,Current (mA).3,Angle Raw.4,Bus Voltage (V).4,Shunt Voltage (mV).4,Current (mA).4,Angle Raw.5,Bus Voltage (V).5,Shunt Voltage (mV).5,Current (mA).5,Angle Raw.6,Bus Voltage (V).6,Shunt Voltage (mV).6,Current (mA).6,Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA)
346.03,3.44,0.01,0.3,241.79,11.24,8.58,131.2,320.71,7.54,15.61,131.4,99.14,2.72,14.14,62.5,232.65,11.33,8.92,133.0,1.67,0.0,11.42,162.8,347.08,0.48,13.84,151.1,111.97,0.0,18.46,110.8
346.03,10.0,0.03,0.3,225.7,2.76,12.52,94.2,283.89,2.23,17.71,86.2,44.74,8.87,8.54,142.4,154.25,2.18,14.44,119.1,269.3,10.85,11.07,179.0,226.41,8.6,14.71,175.0,328.8,0.84,14.68,137.9
346.03,2.94,0.02,0.2,210.5,0.0,6.86,122.0,247.94,0.0,10.82,66.8,350.51,0.0,9.57,86.3,75.67,0.0,15.71,154.8,166.11,2.22,15.88,182.1,108.54,0.0,13.82,140.5,187.56,8.28,17.05,149.8
346.03,0.0,0.01,0.4,195.47,4.8,10.4,161.8,213.05,4.61,8.68,79.6,297.42,0.0,18.76,85.9,358.68,11.75,15.28,138.0,66.53,0.0,14.5,127.7,347.17,1.28,13.41,175.2,46.93,1.6,14.57,87.4
346.03,1.08,0.02,0.1,180.18,4.05,7.15,150.7,179.38,6.03,5.38,152.9,241.44,8.69,9.07,179.4,276.42,0.0,18.19,87.7,328.71,11.27,19.05,89.7,226.85,7.12,12.2,184.1,274.92,0.86,16.68,152.6
346.03,4.31,0.03,0.4,165.5,0.0,5.74,129.4,145.2,0.0,8.31,69.3,186.59,4.1,14.48,73.2,200.65,0.39,18.85,161.1,228.69,2.08,16.51,123.9,108.63,0.0,8.17,115.0,134.38,9.59,14.23,144.8
346.03,10.11,0.04,0.3,150.73,3.68,8.5,77.0,111.01,0.15,6.85,75.1,131.66,0.0,7.67,110.1,123.05,10.61,16.57,182.7,129.81,0.14,16.08,178.5,352.09,2.12,15.58,181.4,352.27,1.01,15.06,117.4
346.03,2.38,0.02,0.1,136.41,8.82,10.83,95.3,76.9,9.42,10.78,96.4,76.38,1.14,6.93,149.0,39.99,1.91,17.86,106.2,28.3,11.58,12.67,177.7,231.94,6.22,11.25,190.7,210.94,0.92,15.02,173.4
346.03,0.0,0.03,0.0,120.94,1.9,15.13,46.9,42.8,6.37,18.63,71.7,22.15,10.34,11.03,98.2,323.53,3.25,16.29,150.9,288.28,1.93,8.62,107.1,113.29,0.0,7.3,149.3,70.31,9.3,14.74,151.1
346.03,0.27,0.01,0.2,105.64,0.0,9.47,109.4,8.44,2.35,11.63,104.8,326.34,0.0,9.7,100.1,245.04,7.97,14.44,153.4,191.95,0.26,14.35,126.7,356.75,1.76,16.65,180.8,292.76,0.0,18.51,114.3
346.03,9.17,0.02,0.4,90.18,10.89,7.57,113.1,334.25,0.0,15.42,89.7,270.18,0.26,18.22,75.6,166.2,0.0,11.58,121.6,92.37,11.54,15.11,187.1,236.43,7.88,17.01,190.5,152.75,1.1,15.2,138.5
346.03,7.8,0.04,0.3,74.71,4.32,8.42,79.5,299.18,11.71,7.04,174.5,214.37,12.09,8.65,162.6,87.98,0.76,14.09,142.1,351.3,1.8,17.23,61.1,118.12,0.0,7.69,156.4,10.02,8.84,17.7,172.6
346.03,2.94,0.02,0.3,60.56,0.0,13.52,75.6,262.09,2.0,12.27,80.4,157.41,2.54,18.32,85.0,11.43,9.43,13.33,132.4,254.62,0.4,8.81,180.7,2.02,0.09,18.41,135.0,233.7,0.0,13.95,84.6
346.03,0.0,0.01,0.4,46.05,0.2,10.36,163.0,226.67,0.0,8.36,93.6,102.39,0.0,9.58,163.7,294.79,0.24,12.22,80.1,158.82,11.24,14.9,124.5,250.84,10.41,18.83,166.1,99.67,0.0,17.9,154.8
