Angle,V_bus,V_shunt,current,time,Angle.1,V_bus.1,V_shunt.1,current.1,time.1,Angle.2,V_bus.2,V_shunt.2,current.2,time.2,Angle.3,V_bus.3,V_shunt.3,current.3,time.3,Angle.4,V_bus.4,V_shunt.4,current.4,time.4,Angle.5,V_bus.5,V_shunt.5,current.5,time.5,Angle.6,V_bus.6,V_shunt.6,current.6,time.6,Angle.7,V_bus.7,V_shunt.7,current.7,time.7,Angle.8,V_bus.8,V_shunt.8,current.8,time.8,Angle.9,V_bus.9,V_shunt.9,current.9,time.9,Angle.10,V_bus.10,V_shunt.10,current.10,time.10,Angle.11,V_bus.11,V_shunt.11,current.11,time.11,Angle.12,V_bus.12,V_shunt.12,current.12,time.12,Angle.13,V_bus.13,V_shunt.13,current.13,time.13,Angle.14,V_bus.14,V_shunt.14,current.14,time.14,Angle.15,V_bus.15,V_shunt.15,current.15,time.15,Angle.16,V_bus.16,V_shunt.16,current.16,time.16,Angle.17,V_bus.17,V_shunt.17,current.17,time.17,Angle,V_bus,V_shunt,current,time
0.0,0.0,0.01,0.2,1.158905267715454,0.0,5.02,7.6,94.8,1.183518648147583,0.0,3.7,16.57,182.1,1.0152277946472168,0.0,0.0,9.84,212.7,1.0668082237243652,359.91,0.0,13.07,189.9,1.0503692626953125,0.0,3.1,24.71,204.9,1.108724594116211,359.91,0.0,27.0,392.9,1.1581623554229736,0.0,0.0,16.23,400.0,1.201537847518921,0.0,0.0,18.06,326.2,1.044878005981445,359.91,0.22,18.8,400.0,1.2154276371002195,359.91,8.68,40.0,250.6,1.0826694965362549,0.0,2.83,40.0,267.3,1.0536949634552002,0.0,2.86,40.0,400.0,1.1866850852966309,0.0,1.42,30.12,400.0,1.180746078491211,0.0,1.43,40.0,305.1,1.1786892414093018,359.91,0.0,20.21,343.2,0.0,0.0,5.08,36.23,374.5,1.186150074005127,0.0,0.76,39.6,353.6,1.1925640106201172,,,,,
0.0,0.0,0.01,0.2,1.1741290092468262,0.0,6.62,10.93,115.9,1.2018649578094482,0.0,1.35,20.18,94.1,1.0483078956604004,0.0,3.1,25.28,207.2,1.0998132228851318,359.91,3.39,30.52,248.0,1.066793441772461,0.0,8.23,21.56,266.7,1.1397509574890137,359.91,7.5,19.17,242.8,1.1749110221862793,0.0,2.68,32.67,219.5,1.2177646160125732,0.0,4.05,26.91,400.0,1.0618953704833984,359.91,8.55,26.6,400.0,1.23260760307312,359.91,0.89,40.0,358.0,1.1007845401763916,0.0,0.0,40.0,154.9,1.0855703353881836,0.0,4.41,30.67,400.0,1.2035491466522217,0.0,9.92,27.25,338.5,1.2120280265808103,0.0,0.0,39.27,170.2,1.212698459625244,359.91,3.67,29.52,400.0,0.0,0.0,5.66,40.0,400.0,1.2032628059387207,0.0,8.45,40.0,400.0,1.209812879562378,,,,,
0.0,0.0,0.02,0.1,1.1997854709625244,0.0,1.22,13.9,94.6,1.217762470245361,0.0,0.0,10.73,161.4,1.0652546882629397,0.0,10.06,20.66,232.4,1.1173903942108154,359.91,2.24,23.31,209.1,1.10319185256958,0.0,1.43,23.92,388.0,1.158586025238037,8.44,3.38,27.59,398.0,1.208446979522705,0.0,8.45,34.92,229.7,1.2504537105560305,0.0,2.8,32.89,266.9,1.0957796573638916,359.91,0.0,27.18,352.3,1.266106128692627,359.91,1.02,40.0,400.0,1.134434938430786,0.0,0.06,35.97,400.0,1.1025440692901611,0.0,0.64,39.76,390.4,1.2362592220306396,0.0,1.69,40.0,400.0,1.2433886528015137,0.0,0.52,40.0,400.0,1.2290353775024414,359.91,2.52,40.0,269.2,0.0,0.0,1.1,40.0,400.0,1.236649513244629,0.0,2.09,40.0,339.1,1.243175029754639,,,,,
0.0,0.96,0.01,0.1,1.2240321636199951,0.0,0.0,8.23,102.7,1.251021146774292,0.0,2.99,16.92,148.4,1.098259687423706,0.0,1.3,22.43,115.2,1.150456190109253,359.91,0.0,22.45,252.4,1.119861364364624,0.0,0.0,23.43,158.1,1.179328441619873,0.0,0.0,25.58,170.7,1.2248127460479736,0.0,1.82,15.82,304.9,1.2670373916625977,0.0,0.0,39.37,113.8,1.111797332763672,359.91,1.06,30.16,400.0,1.292567491531372,359.91,5.72,25.82,400.0,1.1518354415893557,0.0,11.8,40.0,273.7,1.135894536972046,0.0,0.0,40.0,400.0,1.2635574340820312,0.0,0.0,16.39,392.7,1.262622594833374,0.0,7.56,26.0,400.0,1.2620527744293213,359.91,0.0,37.8,242.1,0.0088963508605957,0.0,0.0,32.6,338.7,1.2682433128356934,0.0,0.0,32.67,212.5,1.2675325870513916,,,,,
0.0,3.06,0.02,0.3,1.2411870956420898,0.0,2.53,8.27,89.2,1.2671897411346436,0.0,9.48,10.8,144.2,1.1151442527770996,0.0,0.0,8.11,167.6,1.166912078857422,359.91,4.86,14.18,175.3,1.1495120525360107,0.0,3.7,20.47,203.9,1.2087671756744385,0.0,0.2,33.31,188.8,1.258241891860962,0.0,0.0,18.01,372.9,1.3006081581115725,0.0,0.0,24.91,400.0,1.1452369689941406,359.91,5.24,22.63,392.4,1.3189852237701416,359.91,0.0,14.8,385.1,1.1841962337493896,0.0,2.18,29.68,400.0,1.1524338722229004,0.0,2.57,40.0,400.0,1.2873249053955078,0.0,0.74,32.24,363.0,1.2826449871063232,0.0,1.45,28.79,400.0,1.279287338256836,359.91,0.0,34.98,400.0,0.9325785636901855,0.0,3.29,34.52,400.0,1.2863333225250244,0.0,0.52,40.0,331.6,1.292109727859497,,,,,
0.0,6.44,0.02,0.4,1.2581110000610352,0.0,3.13,10.54,81.2,1.3016321659088137,0.0,1.29,15.18,125.8,1.147748947143555,0.0,2.81,17.55,169.2,1.2003607749938965,359.91,1.44,31.17,302.2,1.184232234954834,0.0,9.7,18.56,240.4,1.2299389839172363,0.0,6.65,14.96,400.0,1.2756459712982178,0.0,1.79,40.0,265.1,1.3179056644439695,0.0,3.26,21.86,400.0,1.161663055419922,349.89,0.0,12.46,368.7,1.352827787399292,359.91,2.4,26.61,287.0,1.2169303894042969,0.0,0.0,22.53,244.6,1.1851701736450195,0.0,4.76,40.0,309.1,1.3039324283599854,0.0,10.12,40.0,400.0,1.316307783126831,0.0,0.0,16.22,233.6,1.3134989738464355,359.91,5.06,39.56,313.9,0.9660370349884032,0.0,6.07,40.0,400.0,1.303650140762329,0.0,9.04,40.0,347.4,1.310387372970581,,,,,
0.0,8.61,0.03,0.3,1.290205478668213,0.0,8.95,11.74,115.5,1.318549633026123,0.0,0.0,8.47,128.0,1.169444561004639,0.0,11.15,15.12,178.0,1.2169759273529053,359.91,0.0,11.9,239.1,1.2001676559448242,0.0,2.32,24.08,353.8,1.258516550064087,0.0,3.78,25.32,400.0,1.310871124267578,0.0,9.06,38.1,211.4,1.352597951889038,0.0,3.0,40.0,310.3,1.1961352825164795,359.91,4.47,36.29,400.0,1.3650944232940674,359.91,4.66,26.11,307.4,1.2395823001861572,0.0,0.3,40.0,400.0,1.202383041381836,0.0,0.92,40.0,287.0,1.341867446899414,0.0,1.19,40.0,278.3,1.337082862854004,0.0,0.48,28.83,278.1,1.3340857028961182,359.91,5.58,40.0,400.0,0.9992949962615968,0.0,1.14,39.25,400.0,1.3423991203308103,0.0,1.3,40.0,341.5,1.330920696258545,,,,,
0.0,5.54,0.01,0.2,1.3083653450012207,0.0,1.16,9.28,92.0,1.3503077030181885,0.0,1.96,19.24,163.7,1.1967778205871582,0.0,1.29,22.4,238.2,1.2503788471221924,359.91,11.35,28.98,310.6,1.234931230545044,0.0,0.0,19.37,278.0,1.2792131900787354,0.0,0.0,25.08,171.2,1.3365826606750488,0.0,2.04,18.88,400.0,1.3771424293518066,0.0,0.0,40.0,111.9,1.2120246887207031,359.91,2.91,31.75,400.0,1.3964357376098633,359.91,0.0,38.61,215.9,1.2670655250549316,0.0,9.92,30.7,400.0,1.235574722290039,0.0,0.0,36.43,400.0,1.3663561344146729,0.0,0.0,40.0,281.6,1.3708643913269043,0.0,7.78,40.0,301.4,1.3652663230895996,359.91,0.0,25.97,400.0,1.0156192779541016,0.0,0.0,27.48,376.2,1.3671236038208008,0.0,0.0,40.0,287.2,1.3664917945861816,,,,,
0.0,2.29,0.01,0.1,1.3248908519744873,0.0,0.0,5.63,73.9,1.3758113384246826,0.0,11.63,17.21,210.9,1.2147111892700195,0.0,0.0,15.58,230.9,1.266885757446289,359.91,0.93,13.38,98.2,1.2673938274383545,0.0,0.97,37.96,167.7,1.3091449737548828,0.0,0.09,35.37,155.8,1.360969066619873,0.0,0.0,15.1,346.5,1.3979668617248535,0.0,0.0,26.2,400.0,1.24605393409729,359.91,0.0,20.07,400.0,1.4278039932250977,359.91,4.66,40.0,299.5,1.2844202518463137,0.0,2.17,40.0,400.0,1.25227689743042,0.0,6.49,40.0,243.4,1.386206865310669,0.0,3.35,36.81,307.4,1.3988070487976074,0.0,1.52,40.0,260.9,1.3781332969665527,359.91,8.04,30.5,400.0,1.0492093563079834,0.0,5.35,40.0,400.0,1.384854793548584,0.0,0.65,40.0,310.2,1.3907155990600586,,,,,
0.0,1.35,0.02,0.1,1.3449554443359375,359.91,0.19,13.62,132.4,1.4003407955169678,0.0,1.35,13.35,108.3,1.2486929893493652,0.0,3.38,29.42,185.3,1.300302505493164,359.91,0.34,18.91,302.1,1.2838399410247805,0.0,10.41,16.68,239.0,1.3412041664123535,0.0,5.82,17.19,379.5,1.3743906021118164,0.0,1.6,40.0,273.2,1.4177794456481934,0.0,10.24,32.17,400.0,1.2616877555847168,359.91,2.88,30.27,335.8,1.4589381217956543,359.91,2.66,40.0,372.1,1.3175137042999268,0.0,0.0,40.0,334.9,1.286299705505371,0.0,5.26,40.0,342.6,1.4041686058044434,10.11,6.18,40.0,400.0,1.4145495891571045,0.0,0.0,36.3,400.0,1.4089102745056152,359.91,0.8,40.0,337.1,1.0809829235076904,0.0,6.35,40.0,400.0,1.4010207653045654,0.0,9.34,40.0,351.4,1.4090402126312256,,,,,
