Time,rotor_position,current,V_shunt,RPM,V,V_IR,V_E,V_E_hat
0.0,212.4,0.0002,2e-05,0.0,0.0,0.00115906652573161,-0.00117906652573161,0.43155183635487404
0.0,212.49,-0.0002,7.000000000000001e-05,0.6023875452404432,0.0,-0.00115906652573161,0.00108906652573161,0.4399880211201044
0.0,212.4,0.0002,2e-05,0.0,0.0,0.00115906652573161,-0.00117906652573161,0.43155183635487404
0.0,212.4,0.0002,2.9999999999999997e-05,0.0,0.0,0.00115906652573161,-0.00118906652573161,0.43155183635487404
0.0,212.4,0.0002,2e-05,0.0,0.0,0.00115906652573161,-0.00117906652573161,0.43155183635487404
0.0,212.49,-0.0002,2e-05,0.6051455283458228,0.0,-0.00115906652573161,0.00113906652573161,0.44002664551604387
0.0,212.4,0.0003,2e-05,0.0,0.0,0.0017385997885974145,-0.0017585997885974146,0.43155183635487404
0.0,212.49,0.0002,2.9999999999999997e-05,0.6250453028135667,0.0,0.00115906652573161,-0.00118906652573161,0.4403053335060641
0.0,212.4,0.0002,-4e-05,0.0,0.0,0.00115906652573161,-0.0011190665257316099,0.43155183635487404
0.0,212.4,0.0002,2e-05,0.0,0.0,0.00115906652573161,-0.00117906652573161,0.43155183635487404
0.0,212.4,0.0004,2.9999999999999997e-05,0.0,0.0,0.00231813305146322,-0.00234813305146322,0.43155183635487404
0.0,212.4,0.0002,2.9999999999999997e-05,0.0,0.0,0.00115906652573161,-0.00118906652573161,0.43155183635487404
0.0,212.4,0.0002,2e-05,0.0,0.0,0.00115906652573161,-0.00117906652573161,0.43155183635487404
0.0,212.4,0.0002,2e-05,0.0,0.0,0.00115906652573161,-0.00117906652573161,0.43155183635487404
0.0,212.4,0.0002,2e-05,0.0,0.0,0.00115906652573161,-0.00117906652573161,0.43155183635487404
0.0,212.4,0.0003,2e-05,0.0,0.0,0.0017385997885974145,-0.0017585997885974146,0.43155183635487404
0.0,212.49,0.0003,2.9999999999999997e-05,0.6235646959710883,0.0,0.0017385997885974145,-0.0017685997885974146,0.4402845982286061
0.0,212.4,0.0002,2e-05,0.0,0.0,0.00115906652573161,-0.00117906652573161,0.43155183635487404
0.0,212.4,0.0002,1e-05,0.0,0.0,0.00115906652573161,-0.00116906652573161,0.43155183635487404
0.0,212.4,0.0003,2e-05,0.0,0.0,0.0017385997885974145,-0.0017585997885974146,0.43155183635487404
0.0,212.4,0.0003,4e-05,0.0,0.0,0.0017385997885974145,-0.0017785997885974146,0.43155183635487404
0.0,212.4,0.0002,2e-05,0.0,0.0,0.00115906652573161,-0.00117906652573161,0.43155183635487404
0.0,212.4,0.0001,1e-05,0.0,0.0,0.000579533262865805,-0.000589533262865805,0.43155183635487404
0.0,212.4,0.0002,2e-05,0.0,0.0,0.00115906652573161,-0.00117906652573161,0.43155183635487404
0.0,212.4,0.0003,1e-05,0.0,0.0,0.0017385997885974145,-0.0017485997885974146,0.43155183635487404
0.0,212.4,0.0003,2.9999999999999997e-05,0.0,0.0,0.0017385997885974145,-0.0017685997885974146,0.43155183635487404
0.0,212.4,0.0002,1e-05,0.0,0.0,0.00115906652573161,-0.00116906652573161,0.43155183635487404
0.0,212.4,0.0001,0.0,0.0,0.0,0.000579533262865805,-0.000579533262865805,0.43155183635487404
0.0,212.4,0.0001,1e-05,0.0,0.0,0.000579533262865805,-0.000589533262865805,0.43155183635487404
0.0,212.4,0.0003,2e-05,0.0,0.0,0.0017385997885974145,-0.0017585997885974146,0.43155183635487404
0.0,212.4,0.0003,-1e-05,0.0,0.0,0.0017385997885974145,-0.0017285997885974145,0.43155183635487404
0.0,212.4,0.0002,2e-05,0.0,0.0,0.00115906652573161,-0.00117906652573161,0.43155183635487404
0.0,212.4,0.0003,2e-05,0.0,0.0,0.0017385997885974145,-0.0017585997885974146,0.43155183635487404
0.0,212.4,0.0003,2.9999999999999997e-05,0.0,0.0,0.0017385997885974145,-0.0017685997885974146,0.43155183635487404
0.0,212.49,0.0002,1e-05,0.6216055249819923,0.0,0.00115906652573161,-0.00116906652573161,0.4402571608611152
0.0,212.4,0.0002,2e-05,0.0,0.0,0.00115906652573161,-0.00117906652573161,0.43155183635487404
0.0,212.4,0.0003,2.9999999999999997e-05,0.0,0.0,0.0017385997885974145,-0.0017685997885974146,0.43155183635487404
0.0,212.4,0.0002,2.9999999999999997e-05,0.0,0.0,0.00115906652573161,-0.00118906652573161,0.43155183635487404
0.0,212.4,0.0002,2.9999999999999997e-05,0.0,0.0,0.00115906652573161,-0.00118906652573161,0.43155183635487404
0.0,212.4,0.0,0.0,0.0,0.0,0.0,0.0,0.43155183635487404
0.0,212.4,0.0002,1e-05,0.0,0.0,0.00115906652573161,-0.00116906652573161,0.43155183635487404
0.0,212.4,0.0003,2e-05,0.0,0.0,0.0017385997885974145,-0.0017585997885974146,0.43155183635487404
0.0,212.4,0.0002,2.9999999999999997e-05,0.0,0.0,0.00115906652573161,-0.00118906652573161,0.43155183635487404
0.0,212.4,0.0002,1e-05,0.0,0.0,0.00115906652573161,-0.00116906652573161,0.43155183635487404
0.0,212.4,-0.0001,2e-05,0.0,0.0,-0.000579533262865805,0.0005595332628658049,0.43155183635487404
0.0,212.49,0.0004,2.9999999999999997e-05,0.0,0.0,0.00231813305146322,-0.00234813305146322,0.43155183635487404
0.0,212.4,0.0002,2e-05,0.0,0.0,0.00115906652573161,-0.00117906652573161,0.43155183635487404
0.0,212.4,0.0006,2e-05,0.0,0.0,0.003477199577194829,-0.003497199577194829,0.43155183635487404
