Angle,V_bus,V_shunt,current,time,Angle.1,V_bus.1,V_shunt.1,current.1,time.1,Angle.2,V_bus.2,V_shunt.2,current.2,time.2,Angle.3,V_bus.3,V_shunt.3,current.3,time.3,Angle.4,V_bus.4,V_shunt.4,current.4,time.4,Angle.5,V_bus.5,V_shunt.5,current.5,time.5,Angle.6,V_bus.6,V_shunt.6,current.6,time.6,Angle.7,V_bus.7,V_shunt.7,current.7,time.7,Angle.8,V_bus.8,V_shunt.8,current.8,time.8,Angle.9,V_bus.9,V_shunt.9,current.9,time.9,Angle.10,V_bus.10,V_shunt.10,current.10,time.10,Angle.11,V_bus.11,V_shunt.11,current.11,time.11,Angle.12,V_bus.12,V_shunt.12,current.12,time.12,Angle,V_bus,V_shunt,current,time
0.0,1.3,0.0,0.0,0.9595096111297609,359.91,1.5,-19.37,-193.7,1.0285565853118896,0.0,0.0,-26.22,-339.1,1.2329161167144775,0.0,0.0,-55.82,-338.6,1.1019034385681152,0.0,3.96,-72.79,-728.3,1.209883451461792,359.91,0.21,-91.66,-635.1,1.222179651260376,8.96,2.77,-111.77,-1118.0,1.1509449481964111,359.91,3.93,-129.59,-1296.0,1.1801795959472656,0.0,4.36,-141.95,-1419.3,1.1599531173706057,359.91,4.51,-155.53,-1554.5,1.249541997909546,0.0,4.89,-167.06,-1671.2,1.2538838386535645,0.0,0.02,-161.69,-1721.3,1.2440381050109863,0.0,0.0,-192.83,-1576.7,1.2446413040161133,359.91,6.3,-197.36,-1973.6,1.1102049350738525
0.0,0.0,-0.03,0.1,0.9769787788391112,359.91,6.14,-19.42,-193.9,1.0607693195343018,0.0,7.26,-37.81,-378.6,1.2603960037231443,0.0,2.6,-55.83,-558.5,1.132524490356445,359.91,0.0,-59.11,-726.4,1.243652582168579,359.91,4.26,-91.63,-916.0,1.238778591156006,0.0,0.02,-107.67,-1117.2,1.1836941242218018,359.91,0.0,-119.22,-962.7,1.2126314640045166,0.0,0.0,-116.57,-1328.4,1.1917827129364014,359.91,0.35,-154.39,-1554.5,1.2824115753173828,0.0,0.0,-139.92,-1653.9,1.2882835865020752,0.0,5.22,-172.93,-1729.2,1.2758116722106934,0.0,5.92,-192.84,-1928.2,1.2623491287231443,359.91,0.0,-171.81,-1913.6,1.1436312198638916
0.0,0.54,-0.03,-0.3,1.0086593627929688,359.91,0.0,-14.74,-193.1,1.0782887935638428,0.0,2.18,-37.87,-378.3,1.28513503074646,0.0,5.96,-55.87,-558.7,1.1490275859832764,0.0,11.14,-72.95,-729.5,1.2603602409362793,0.0,2.74,-91.57,-915.5,1.2722437381744385,0.0,4.7,-111.68,-1116.7,1.2172293663024902,359.91,11.06,-129.65,-1296.7,1.2452409267425537,0.0,7.07,-141.75,-1417.8,1.209956169128418,359.91,1.89,-155.6,-1554.5,1.3075170516967771,0.0,7.54,-167.14,-1671.5,1.3045506477355957,0.0,0.0,-140.07,-1568.7,1.2948312759399414,0.0,1.0,-192.82,-1928.2,1.3054280281066897,359.91,2.73,-197.4,-1974.0,1.166818618774414
0.0,0.0,0.01,-0.3,1.0267815589904783,0.0,9.51,-19.38,-193.9,1.1117429733276367,0.0,0.0,-34.91,-374.8,1.311889410018921,0.0,0.0,-34.58,-344.2,1.1826250553131104,359.91,0.0,-46.08,-532.1,1.294907569885254,0.0,0.0,-66.53,-892.4,1.3064165115356443,359.91,0.28,-110.59,-1114.6,1.250499248504639,359.91,0.0,-99.44,-1126.6,1.2634756565093994,0.0,0.0,-103.79,-1133.7,1.2436182498931885,359.91,1.2,-155.45,-1555.1,1.337308645248413,0.0,0.0,-131.24,-1353.7,1.3395514488220217,0.0,9.86,-173.05,-1730.9,1.3286664485931396,0.0,5.04,-192.7,-1927.5,1.3345236778259275,359.91,0.28,-195.99,-1974.1,1.1939489841461182
0.0,0.5,-0.05,-0.4,1.0497968196868896,0.0,1.85,-19.4,-193.8,1.128265142440796,0.0,12.13,-37.89,-378.8,1.3302183151245115,0.0,3.57,-55.88,-558.9,1.2142951488494873,359.91,9.03,-72.94,-729.1,1.3299789428710938,0.0,9.2,-91.38,-913.9,1.3275713920593262,359.91,1.88,-111.51,-1114.5,1.2840633392333984,359.91,5.82,-129.71,-1297.9,1.2973895072937012,0.0,10.34,-141.82,-1418.3,1.2767634391784668,359.91,0.81,-155.58,-1176.9,1.376999855041504,0.0,10.4,-167.12,-1671.5,1.376744508743286,0.0,0.0,-149.18,-1401.0,1.3626444339752195,0.0,1.6,-192.69,-1926.8,1.3634545803070068,359.91,1.56,-197.4,-1973.8,1.2273402214050293
0.0,5.35,-0.01,-0.1,1.077035903930664,0.0,0.03,-18.43,-193.5,1.1616432666778564,0.0,0.35,-37.86,-228.4,1.3712332248687744,0.0,4.81,-55.84,-558.2,1.232813835144043,0.0,1.91,-72.96,-729.3,1.3580851554870603,0.0,2.02,-91.35,-913.5,1.3593895435333252,359.91,2.7,-111.34,-1113.6,1.3172411918640137,359.91,0.0,-123.78,-1289.7,1.3344924449920654,0.0,0.0,-119.27,-1085.6,1.3103222846984863,359.91,10.28,-155.58,-1555.4,1.407505989074707,0.0,0.0,-131.67,-1352.4,1.4016780853271484,0.0,9.47,-172.99,-1729.8,1.3763675689697266,0.0,0.55,-192.27,-1927.4,1.378488302230835,359.91,6.38,-197.37,-1974.1,1.260911226272583
349.45,3.45,0.02,0.0,1.0933470726013184,0.0,10.64,-19.37,-193.5,1.1961278915405271,0.0,2.05,-37.73,-378.8,1.392366647720337,0.0,0.0,-34.11,-377.8,1.2660813331604004,0.0,0.0,-66.14,-729.8,1.3765788078308103,0.0,0.0,-79.61,-909.5,1.387570858001709,359.91,1.14,-111.21,-762.1,1.3431031703948977,0.0,6.7,-129.9,-1299.1,1.3644814491271973,0.0,6.87,-141.8,-1417.7,1.3391671180725098,359.91,0.0,-123.83,-1324.4,1.4382195472717283,0.0,11.27,-167.05,-1671.4,1.436988115310669,359.91,0.0,-139.34,-1405.7,1.4233567714691162,0.0,2.64,-192.63,-1927.0,1.4104511737823486,359.91,0.54,-197.3,-1606.6,1.2945005893707275
359.91,0.0,-0.05,-0.5,1.1269428730010986,0.0,0.0,-19.38,-116.1,1.2120397090911863,0.0,7.36,-37.89,-379.0,1.4244155883789062,0.0,3.47,-55.82,-558.2,1.2824409008026123,0.0,11.44,-72.9,-729.0,1.4121859073638916,359.91,6.46,-91.26,-913.0,1.405266284942627,359.91,5.21,-111.16,-1111.3,1.3792531490325928,10.11,0.0,-100.71,-1272.9,1.3950393199920654,0.0,0.96,-141.87,-1418.2,1.3591806888580322,359.91,4.62,-155.58,-1555.5,1.469388484954834,0.0,0.0,-166.91,-1319.5,1.452596664428711,0.0,11.26,-172.75,-1727.2,1.443110466003418,0.0,0.0,-162.06,-1911.3,1.4417715072631836,359.91,8.32,-197.32,-1973.5,1.3309617042541504
0.0,0.0,-0.04,0.0,1.150259017944336,0.0,1.46,-19.33,-193.6,1.250972032546997,348.75,0.0,-25.69,-311.1,1.4531762599945068,0.0,3.4,-55.76,-558.0,1.3162472248077393,359.91,0.0,-45.53,-567.6,1.440958023071289,0.0,0.0,-77.89,-644.0,1.4365906715393066,359.91,0.0,-96.26,-800.5,1.3982841968536377,0.0,7.56,-129.8,-1298.2,1.41440749168396,0.0,6.24,-141.9,-1419.1,1.389913558959961,359.91,0.0,-144.93,-1554.5,1.5006694793701172,0.0,8.33,-167.02,-1669.8,1.484581708908081,0.0,0.02,-172.77,-1388.7,1.470980882644653,0.0,5.97,-192.6,-1926.0,1.4730689525604248,359.91,0.0,-163.87,-1705.9,1.359645128250122
0.0,2.12,-0.04,-0.1,1.1761462688446045,0.0,6.07,-19.33,-193.7,1.2782835960388184,0.0,6.72,-37.87,-378.7,1.4756600856781006,0.0,0.0,-36.85,-443.8,1.3498032093048096,359.91,9.86,-72.59,-726.0,1.4603617191314695,359.91,5.08,-91.29,-912.8,1.4678869247436523,0.0,3.27,-110.98,-1110.1,1.4296579360961914,0.0,0.0,-93.2,-1060.3,1.4427335262298584,0.0,1.39,-141.95,-1419.5,1.4211556911468506,359.91,2.7,-155.3,-1553.1,1.532987117767334,0.0,1.04,-167.04,-1407.4,1.5158472061157229,359.91,9.76,-172.59,-1726.6,1.513761043548584,359.91,0.0,-171.38,-1923.9,1.5059163570404053,359.91,5.41,-197.35,-1973.2,1.3924317359924316
